family	init-inferred-rf	init-true-rf	inferred-true-rf
PF01640	0.9076923076923077	0.6	0.9076923076923077
PF11303	0.9662921348314607	0.4157303370786517	0.9662921348314607
PF09382	0.9325842696629213	0.5617977528089888	0.9662921348314607
PF05488	0.9428571428571428	0.4857142857142857	0.9428571428571428
PF22658	0.9523809523809523	0.6825396825396826	0.9365079365079365
PF12390	0.9645390070921985	0.7588652482269503	0.950354609929078
PF00428	0.9016393442622951	0.45901639344262296	0.8852459016393442
PF19087	0.9642857142857143	0.5446428571428571	0.9732142857142857
PF17172	0.9299363057324841	0.4585987261146497	0.9299363057324841
PF16935	0.9555555555555556	0.6666666666666666	0.9333333333333333
PF18575	0.9325842696629213	0.7415730337078652	0.9213483146067416
PF09747	0.9629629629629629	0.3333333333333333	0.9259259259259259
PF10055	0.9387755102040817	0.7551020408163265	0.9183673469387755
PF13613	0.8823529411764706	0.6078431372549019	0.8823529411764706
PF24497	0.9491525423728814	0.847457627118644	0.940677966101695
PF14014	0.9433962264150944	0.5094339622641509	0.9559748427672956
PF20712	0.9130434782608695	0.5869565217391305	0.8695652173913043
PF18393	0.9552238805970149	0.3582089552238806	0.9552238805970149
PF13516	0.9354838709677419	0.7580645161290323	0.967741935483871
PF08244	0.9203539823008849	0.40707964601769914	0.9292035398230089
PF11563	0.9508196721311475	0.6065573770491803	0.9016393442622951
PF10309	0.927536231884058	0.5362318840579711	0.927536231884058
PF13301	0.8878504672897196	0.616822429906542	0.8691588785046729
PF23703	0.9102564102564102	0.47435897435897434	0.8846153846153846
PF12969	0.95	0.5125	0.9375
PF00722	0.9863013698630136	0.2602739726027397	0.9726027397260274
PF10002	0.8823529411764706	0.3333333333333333	0.8627450980392157
PF23420	0.93	0.52	0.92
PF10332	0.9397590361445783	0.3614457831325301	0.9156626506024096
PF01227	0.9016393442622951	0.47540983606557374	0.8688524590163934
PF12239	0.9565217391304348	0.33043478260869563	0.9478260869565217
PF01099	0.9701492537313433	0.417910447761194	0.9552238805970149
PF24082	0.945054945054945	0.4725274725274725	0.9340659340659341
PF18579	0.9074074074074074	0.5925925925925926	0.8888888888888888
PF25424	0.95	0.49	0.91
PF24972	1.0	0.4264705882352941	0.9852941176470589
PF17131	0.9272727272727272	0.3393939393939394	0.9272727272727272
PF03939	0.9519230769230769	0.6923076923076923	0.9423076923076923
PF19136	0.9508196721311475	0.28415300546448086	0.9508196721311475
PF05118	0.945054945054945	0.42857142857142855	0.9340659340659341
PF18936	0.9647058823529412	0.5294117647058824	0.9647058823529412
PF25284	0.9117647058823529	0.5588235294117647	0.9264705882352942
PF10531	0.9622641509433962	0.8301886792452831	0.9433962264150944
