	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
189	17044	0.5	1.0	0.5
190	662	1.0	1.0	0.0
191	8854	0.0	1.0	1.0
192	664	0.0	0.0	0.0
193	667	0.5	0.5	0.5
194	668	0.5	0.5	0.0
195	17056	0.5	1.0	1.0
196	17071	0.0	0.5	0.5
197	17073	0.5	1.0	0.5
198	17074	0.5	0.5	0.0
199	8885	0.0	0.5	0.5
200	699	0.5	0.5	0.5
201	700	0.5	0.5	0.5
202	17083	0.0	1.0	1.0
203	17088	0.0	0.5	0.5
204	17092	0.5	0.5	0.0
205	8906	0.5	0.5	0.0
206	8907	0.0	0.5	0.5
207	17101	0.0	1.0	1.0
208	17102	0.5	0.5	0.0
209	727	0.0	0.0	0.0
210	729	0.5	0.5	0.0
211	8921	0.5	1.0	0.5
212	8925	0.0	0.0	0.0
213	8928	0.5	0.0	0.5
214	8943	0.0	0.0	0.0
215	8947	0.0	1.0	1.0
216	17145	0.5	1.0	0.5
217	768	0.0	1.0	1.0
218	769	0.5	0.5	0.0
219	770	0.0	1.0	1.0
220	17155	0.5	0.5	0.0
221	17160	0.5	0.0	0.5
222	17163	0.5	0.5	0.0
223	785	0.0	0.0	0.0
224	17176	0.5	1.0	0.5
225	8985	0.0	0.5	0.5
226	794	0.0	0.0	0.0
227	8988	0.5	1.0	1.0
228	805	0.0	1.0	1.0
229	8997	0.0	0.5	0.5
230	807	0.0	0.0	0.0
231	9006	0.5	0.5	1.0
232	815	0.0	0.5	0.5
233	9008	0.0	0.0	0.0
234	9012	0.0	1.0	1.0
235	9014	0.0	0.5	0.5
236	823	0.5	1.0	1.0
237	824	0.5	1.0	0.5
238	17209	0.0	1.0	1.0
239	9018	0.5	1.0	0.5
240	9019	0.0	1.0	1.0
241	828	0.0	0.0	0.0
242	17210	0.0	0.0	0.0
243	17215	0.5	1.0	0.5
244	17217	1.0	1.0	0.0
245	846	0.0	0.5	0.5
246	847	0.5	0.5	0.0
247	852	0.0	0.5	0.5
248	854	0.0	0.0	0.0
249	855	0.5	0.5	0.0
250	861	0.0	0.5	0.5
251	17248	0.0	0.0	0.0
252	9065	0.5	1.0	0.5
253	877	0.0	0.0	0.0
254	17261	0.5	0.5	0.0
255	17263	0.5	1.0	0.5
256	9075	0.5	0.5	1.0
257	9077	0.0	1.0	1.0
258	9078	0.5	0.5	0.0
259	9079	0.5	1.0	0.5
260	17276	0.5	0.5	1.0
261	893	0.5	1.0	0.5
262	895	0.0	0.0	0.0
263	900	0.5	1.0	0.5
264	9106	0.5	1.0	0.5
265	9107	0.0	0.0	0.0
266	9109	0.5	1.0	0.5
267	17302	0.0	0.5	0.5
268	9111	0.5	1.0	1.0
269	9112	0.0	1.0	1.0
270	17303	0.0	1.0	1.0
271	17305	0.0	1.0	1.0
272	923	0.5	0.5	0.5
273	17309	0.0	0.0	0.0
274	17313	0.0	1.0	1.0
275	17318	0.0	0.0	0.0
276	9128	0.5	0.5	0.5
277	17321	0.0	1.0	1.0
278	9131	0.0	0.0	0.0
279	9132	0.0	0.5	0.5
280	17328	0.5	1.0	1.0
281	17335	0.0	0.5	0.5
282	952	0.0	0.5	0.5
283	17338	0.0	1.0	1.0
284	9147	0.5	1.0	1.0
285	956	0.5	0.5	0.0
286	957	0.5	0.5	0.0
287	17339	0.5	0.5	0.5
288	17341	0.0	0.0	0.0
289	9152	0.5	0.5	0.0
290	17344	0.5	1.0	0.5
291	9156	0.5	0.5	0.0
292	17348	0.0	0.0	0.0
293	17351	0.0	0.5	0.5
294	969	0.5	0.5	0.5
295	9161	0.0	1.0	1.0
296	975	0.0	1.0	1.0
297	17365	0.0	0.5	0.5
298	17369	0.0	1.0	1.0
299	17371	0.0	0.0	0.0
300	988	1.0	1.0	0.0
301	989	0.5	1.0	1.0
302	9182	0.0	0.0	0.0
303	9185	0.0	0.5	0.5
304	996	0.0	0.5	0.5
305	1001	0.5	0.5	0.0
306	1008	0.5	0.5	0.0
307	9201	0.5	0.5	0.0
308	9205	0.0	0.0	0.0
309	17397	0.0	0.0	0.0
310	9207	0.5	0.5	0.5
311	1016	0.0	0.5	0.5
312	1017	0.5	0.5	0.0
313	9208	0.0	1.0	1.0
314	9209	0.5	1.0	0.5
315	1022	0.0	0.0	0.0
316	9219	0.0	0.5	0.5
317	17413	0.0	0.0	0.0
318	17425	0.0	0.5	0.5
319	17430	0.0	0.5	0.5
320	17433	0.5	1.0	0.5
321	17435	0.5	1.0	1.0
322	1059	0.5	0.0	0.5
323	1060	0.5	0.5	0.5
324	1061	0.5	0.5	1.0
325	1063	0.0	0.0	0.0
326	17448	0.0	0.0	0.0
327	17450	0.0	0.5	0.5
328	17451	0.0	0.5	0.5
329	17454	0.5	0.0	0.5
330	17457	0.0	0.0	0.0
331	9269	0.0	0.0	0.0
332	17462	0.5	0.5	0.0
333	1082	0.0	0.0	0.0
334	17483	0.5	0.5	0.0
335	17485	0.5	0.5	0.0
336	9311	0.0	0.5	0.5
337	1121	0.5	1.0	0.5
338	17507	0.0	1.0	1.0
339	1126	0.0	1.0	1.0
340	9324	0.0	1.0	1.0
341	1137	1.0	0.5	1.0
342	9334	1.0	1.0	0.5
343	9338	0.5	1.0	0.5
344	9340	0.0	0.0	0.0
345	17533	1.0	1.0	0.0
346	1151	0.0	0.0	0.0
347	1155	0.5	0.0	0.5
348	9349	0.5	0.5	0.0
349	1166	0.0	0.0	0.0
350	1168	0.0	1.0	1.0
351	1178	0.5	0.5	0.0
352	17564	1.0	1.0	1.0
353	9375	0.0	1.0	1.0
354	17569	0.0	0.0	0.0
355	17576	0.0	1.0	1.0
356	17583	0.0	0.5	0.5
357	17587	0.0	1.0	1.0
358	17590	0.5	1.0	1.0
359	1215	0.5	0.5	0.0
360	1219	0.0	0.5	0.5
361	17603	0.5	0.5	0.0
362	1230	1.0	0.5	1.0
363	1240	0.5	0.5	0.0
364	1241	0.5	1.0	0.5
365	17626	0.0	0.0	0.0
366	9436	0.0	1.0	1.0
367	9440	0.5	0.5	0.0
368	1249	0.0	0.5	0.5
369	17634	0.0	0.5	0.5
370	1253	0.5	0.5	0.0
371	9447	0.0	0.0	0.0
372	17641	1.0	0.5	1.0
373	17650	0.5	1.0	0.5
374	17651	1.0	1.0	0.0
375	1268	0.0	0.0	0.0
376	9462	0.0	0.5	0.5
377	17659	0.0	0.5	0.5
378	17661	0.5	1.0	1.0
379	1280	0.0	0.0	0.0
380	9473	0.0	0.0	0.0
381	9475	1.0	1.0	0.5
382	1287	0.5	1.0	1.0
