	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
146	PF00004	8717	0.0	0.0	0.0
147	PF00004	526	0.0	0.5	0.5
148	PF00004	527	0.0	0.0	0.0
149	PF00004	8718	0.0	1.0	1.0
150	PF00004	530	0.0	0.0	0.0
151	PF00004	16921	0.0	1.0	1.0
152	PF00004	16922	0.0	0.0	0.0
153	PF00004	540	0.5	0.5	0.5
154	PF00004	8735	0.0	0.5	0.5
155	PF00004	546	0.0	1.0	1.0
156	PF00004	553	0.0	0.0	0.0
157	PF00004	16941	0.0	0.0	0.0
158	PF00004	16944	0.0	0.5	0.5
159	PF00004	561	0.0	0.0	0.0
160	PF00004	8755	0.0	0.0	0.0
161	PF00004	8756	0.0	0.5	0.5
162	PF00004	570	0.0	0.5	0.5
163	PF00004	572	0.5	0.5	0.0
164	PF00004	16959	0.0	0.0	0.0
165	PF00004	16960	0.0	0.0	0.0
166	PF00004	16965	0.0	0.5	0.5
167	PF00004	16968	0.0	0.5	0.5
168	PF00004	8783	0.0	0.5	0.5
169	PF00004	8784	0.0	1.0	1.0
170	PF00004	8788	0.0	0.0	0.0
171	PF00004	8793	0.0	1.0	1.0
172	PF00004	16985	0.0	1.0	1.0
173	PF00004	8796	0.0	0.5	0.5
174	PF00004	16991	0.5	0.0	0.5
175	PF00004	8801	0.0	0.0	0.0
176	PF00004	615	0.0	0.5	0.5
177	PF00004	8809	0.0	0.5	0.5
178	PF00004	620	0.5	0.5	0.5
179	PF00004	8821	0.0	1.0	1.0
180	PF00004	630	0.0	1.0	1.0
181	PF00004	17015	0.0	0.5	0.5
182	PF00004	633	0.5	0.0	0.5
183	PF00004	17019	0.0	1.0	1.0
184	PF00004	17020	0.5	0.5	0.0
185	PF00004	17023	0.0	0.5	0.5
186	PF00004	8838	1.0	1.0	1.0
187	PF00004	8839	0.0	0.0	0.0
188	PF00004	17030	0.0	0.0	0.0
189	PF00004	17044	0.0	0.5	0.5
190	PF00004	662	0.5	0.5	0.0
191	PF00004	8854	0.0	1.0	1.0
192	PF00004	664	0.0	0.0	0.0
193	PF00004	667	0.0	0.5	0.5
194	PF00004	668	0.0	0.0	0.0
195	PF00004	17056	0.0	1.0	1.0
196	PF00004	17071	0.0	0.5	0.5
197	PF00004	17073	0.0	0.5	0.5
198	PF00004	17074	0.0	0.0	0.0
199	PF00004	8885	0.0	0.5	0.5
200	PF00004	699	0.0	0.5	0.5
201	PF00004	700	0.0	0.5	0.5
202	PF00004	17083	0.0	1.0	1.0
203	PF00004	17088	0.0	0.5	0.5
204	PF00004	17092	0.0	0.0	0.0
205	PF00004	8906	0.0	0.0	0.0
206	PF00004	8907	0.0	0.5	0.5
207	PF00004	17101	0.5	1.0	1.0
208	PF00004	17102	0.0	0.0	0.0
209	PF00004	727	0.0	0.0	0.0
210	PF00004	729	0.0	0.0	0.0
211	PF00004	8921	0.0	0.5	0.5
212	PF00004	8925	0.0	0.0	0.0
213	PF00004	8928	0.0	0.5	0.5
214	PF00004	8943	0.0	0.0	0.0
215	PF00004	8947	0.5	1.0	1.0
216	PF00004	17145	0.0	0.5	0.5
217	PF00004	768	0.0	1.0	1.0
218	PF00004	769	0.0	0.0	0.0
219	PF00004	770	0.0	1.0	1.0
220	PF00004	17155	0.5	0.5	0.0
221	PF00004	17160	0.5	0.5	0.5
222	PF00004	17163	0.0	0.0	0.0
223	PF00004	785	0.0	0.0	0.0
224	PF00004	17176	0.0	0.5	0.5
225	PF00004	8985	0.0	0.5	0.5
226	PF00004	794	0.0	0.0	0.0
227	PF00004	8988	0.0	1.0	1.0
228	PF00004	805	0.0	1.0	1.0
229	PF00004	8997	0.5	0.0	0.5
230	PF00004	807	0.5	0.5	0.0
231	PF00004	9006	0.0	1.0	1.0
232	PF00004	815	0.0	0.5	0.5
233	PF00004	9008	1.0	1.0	0.0
234	PF00004	9012	0.0	1.0	1.0
235	PF00004	9014	0.0	0.5	0.5
236	PF00004	823	0.0	1.0	1.0
237	PF00004	824	0.0	0.5	0.5
238	PF00004	17209	0.5	1.0	1.0
239	PF00004	9018	0.0	0.5	0.5
240	PF00004	9019	0.0	1.0	1.0
241	PF00004	828	1.0	1.0	0.0
242	PF00004	17210	0.0	0.0	0.0
243	PF00004	17215	0.0	0.5	0.5
244	PF00004	17217	0.0	0.0	0.0
245	PF00004	846	0.0	0.5	0.5
246	PF00004	847	0.0	0.0	0.0
247	PF00004	852	0.0	0.5	0.5
248	PF00004	854	0.0	0.0	0.0
249	PF00004	855	0.0	0.0	0.0
250	PF00004	861	0.5	0.0	0.5
251	PF00004	17248	0.0	0.0	0.0
252	PF00004	9065	0.0	0.5	0.5
253	PF00004	877	0.0	0.0	0.0
254	PF00004	17261	0.0	0.0	0.0
255	PF00004	17263	0.0	0.5	0.5
256	PF00004	9075	1.0	0.5	1.0
257	PF00004	9077	0.0	1.0	1.0
258	PF00004	9078	0.0	0.0	0.0
259	PF00004	9079	0.0	0.5	0.5
260	PF00004	17276	0.0	1.0	1.0
261	PF00004	893	0.0	0.5	0.5
262	PF00004	895	1.0	1.0	0.0
263	PF00004	900	0.0	0.5	0.5
264	PF00004	9106	0.0	0.5	0.5
265	PF00004	9107	0.0	0.0	0.0
266	PF00004	9109	0.0	0.5	0.5
267	PF00004	17302	0.0	0.5	0.5
268	PF00004	9111	0.0	1.0	1.0
269	PF00004	9112	0.0	1.0	1.0
270	PF00004	17303	0.0	1.0	1.0
271	PF00004	17305	0.0	1.0	1.0
272	PF00004	923	0.0	0.5	0.5
273	PF00004	17309	0.0	0.0	0.0
274	PF00004	17313	0.0	1.0	1.0
275	PF00004	17318	0.0	0.0	0.0
276	PF00004	9128	0.0	0.5	0.5
277	PF00004	17321	1.0	0.0	1.0
278	PF00004	9131	0.0	0.0	0.0
