	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	PF17866	0.9583333333333334	1.0	0.8333333333333334
1	PF04775	0.875	0.9375	0.5
2	PF22658	0.9791666666666666	0.9583333333333334	0.75
3	PF24852	0.9166666666666666	0.9375	0.5416666666666666
4	PF25522	0.9375	0.875	0.5625
5	PF19104	0.8958333333333334	0.9166666666666666	0.4166666666666667
6	PF06886	0.875	0.9166666666666666	0.7083333333333334
7	PF20712	0.9166666666666666	0.9583333333333334	0.5833333333333334
8	PF20901	0.9166666666666666	0.8958333333333334	0.6041666666666666
9	PF01442	0.9166666666666666	0.9583333333333334	0.8125
10	PF05137	0.9583333333333334	0.9375	0.5208333333333334
11	PF22010	0.9166666666666666	0.8958333333333334	0.5625
12	PF25424	0.875	0.875	0.4166666666666667
13	PF18174	0.9166666666666666	0.9583333333333334	0.4583333333333333
14	PF01644	0.875	0.8958333333333334	0.4791666666666667
15	PF13966	0.875	0.9166666666666666	0.6041666666666666
16	PF08334	0.9375	0.9375	0.6041666666666666
17	PF09495	0.9583333333333334	0.9375	0.3541666666666667
18	PF23549	0.875	0.8958333333333334	0.6458333333333334
19	PF07286	0.875	0.8541666666666666	0.4375
20	PF25058	0.9375	0.9375	0.6666666666666666
21	PF01994	0.9166666666666666	0.9583333333333334	0.5833333333333334
22	PF17135	0.9375	0.9583333333333334	0.5
23	PF16370	0.9166666666666666	0.9375	0.3958333333333333
24	PF24466	0.8333333333333334	0.875	0.6875
25	PF17189	0.8125	0.875	0.6666666666666666
26	PF16561	0.875	0.875	0.5625
27	PF17804	0.8958333333333334	0.9375	0.4583333333333333
28	PF12357	0.9583333333333334	0.9375	0.5208333333333334
29	PF18914	0.8958333333333334	0.9166666666666666	0.8541666666666666
30	PF25581	0.8333333333333334	0.7916666666666666	0.5208333333333334
31	PF08144	0.9791666666666666	0.9791666666666666	0.5
32	PF00024	0.9166666666666666	0.9375	0.7708333333333334
33	PF14803	0.9166666666666666	0.9166666666666666	0.7708333333333334
34	PF20024	0.9375	0.9375	0.5833333333333334
35	PF08079	0.9166666666666666	0.9375	0.6041666666666666
36	PF08234	0.8958333333333334	0.875	0.4791666666666667
37	PF25505	0.9583333333333334	0.9583333333333334	0.4791666666666667
38	PF11138	0.875	0.875	0.5416666666666666
39	PF12701	0.9375	0.9166666666666666	0.625
40	PF15609	0.875	0.8125	0.3333333333333333
41	PF18145	0.7916666666666666	0.8333333333333334	0.5625
42	PF05047	0.8958333333333334	0.9166666666666666	0.5833333333333334
43	PF02148	0.875	0.9375	0.625
44	PF08614	0.9166666666666666	0.9166666666666666	0.1875
45	PF20590	0.8541666666666666	0.8958333333333334	0.5
46	PF04800	0.875	0.8958333333333334	0.5
47	PF08242	0.8333333333333334	0.9583333333333334	0.9791666666666666
48	PF16797	0.7708333333333334	0.8125	0.3958333333333333
49	PF03413	1.0	1.0	0.7083333333333334
50	PF24641	0.9166666666666666	0.9583333333333334	0.625
51	PF20016	0.8958333333333334	0.9375	0.5416666666666666
52	PF13442	0.8541666666666666	0.8541666666666666	0.6458333333333334
53	PF24567	0.8958333333333334	0.9583333333333334	0.3958333333333333
54	PF02556	0.9166666666666666	0.9166666666666666	0.5
55	PF09368	0.9166666666666666	0.875	0.7291666666666666
56	PF01912	0.875	0.8958333333333334	0.2708333333333333
57	PF04535	0.8958333333333334	0.9166666666666666	0.4791666666666667
58	PF22664	0.9166666666666666	0.8958333333333334	0.4375
59	PF04176	0.8541666666666666	0.8958333333333334	0.5
60	PF00216	0.9166666666666666	0.9791666666666666	0.8333333333333334
61	PF20612	0.9166666666666666	0.8958333333333334	0.5416666666666666
62	PF02199	0.9375	0.9166666666666666	0.7291666666666666
63	PF19883	0.9375	1.0	0.6875
64	PF03031	0.8541666666666666	0.8541666666666666	0.5416666666666666
65	PF22946	0.9375	0.9166666666666666	0.5416666666666666
66	PF24479	0.9166666666666666	0.9166666666666666	0.75
67	PF23716	0.8541666666666666	0.9166666666666666	0.7291666666666666
68	PF14768	0.9166666666666666	0.9583333333333334	0.4791666666666667
69	PF23580	0.9375	0.9583333333333334	0.7291666666666666
70	PF12965	0.9166666666666666	0.8958333333333334	0.4791666666666667
71	PF21934	0.8541666666666666	0.875	0.6458333333333334
72	PF13365	0.9166666666666666	0.9583333333333334	0.6875
73	PF25481	0.9583333333333334	0.9166666666666666	0.4166666666666667
74	PF00932	0.9166666666666666	0.9166666666666666	0.5833333333333334
75	PF25089	0.9166666666666666	0.9166666666666666	0.5208333333333334
76	PF13581	0.8958333333333334	0.9166666666666666	0.6875
77	PF04934	0.875	0.875	0.4583333333333333
78	PF20084	0.9375	0.9375	0.5625
79	PF12996	0.875	0.9375	0.4583333333333333
80	PF12830	0.8541666666666666	0.875	0.5208333333333334
81	PF05545	0.8958333333333334	0.9166666666666666	0.5416666666666666
82	PF25512	0.8958333333333334	0.9166666666666666	0.7708333333333334
83	PF03896	0.9583333333333334	0.9583333333333334	0.3333333333333333
84	PF12848	0.9375	0.9166666666666666	0.625
85	PF21528	0.9375	0.9791666666666666	0.75
86	PF18331	0.9166666666666666	0.9166666666666666	0.75
87	PF18211	0.875	0.8958333333333334	0.5833333333333334
88	PF04925	0.875	0.9583333333333334	0.7083333333333334
89	PF08315	0.8333333333333334	0.875	0.5416666666666666
90	PF24425	0.9375	0.9375	0.5
91	PF17039	0.8958333333333334	0.9166666666666666	0.5416666666666666
92	PF24583	0.9583333333333334	1.0	0.5208333333333334
93	PF24925	0.9166666666666666	0.9166666666666666	0.5
94	PF04354	0.8541666666666666	0.8333333333333334	0.8541666666666666
95	PF10374	0.7916666666666666	0.8333333333333334	0.6458333333333334
96	PF06427	0.875	0.8958333333333334	0.4166666666666667
97	PF04226	0.875	0.8958333333333334	0.6875
98	PF03485	0.9583333333333334	0.9166666666666666	0.75
99	PF14345	0.875	0.9375	0.6458333333333334
100	PF13004	0.8958333333333334	0.9166666666666666	0.8541666666666666
101	PF12829	0.8333333333333334	0.8958333333333334	0.5625
102	PF18945	0.9375	0.9166666666666666	0.3958333333333333
103	PF10040	0.8333333333333334	0.7916666666666666	0.625
104	PF10290	0.9375	0.9583333333333334	0.5625
105	PF09759	0.875	0.875	0.5208333333333334
106	PF16978	0.8958333333333334	0.9166666666666666	0.3333333333333333
107	PF20704	0.9583333333333334	0.9583333333333334	0.6666666666666666
108	PF03839	0.8333333333333334	0.8333333333333334	0.3333333333333333
109	PF08522	0.9375	0.9375	0.6666666666666666
110	PF13183	0.9166666666666666	0.9791666666666666	0.7708333333333334
111	PF22531	0.9375	0.9166666666666666	0.5625
112	PF11248	0.8333333333333334	0.8541666666666666	0.5208333333333334
113	PF16922	0.9375	0.9583333333333334	0.5
114	PF04313	0.8958333333333334	0.9375	0.6875
115	PF13577	0.875	0.9166666666666666	0.625
116	PF16747	0.875	0.8958333333333334	0.75
117	PF04699	0.9166666666666666	0.875	0.2916666666666667
118	PF10785	0.9375	0.9166666666666666	0.5625
119	PF11575	0.7708333333333334	0.8958333333333334	0.7083333333333334
120	PF19741	0.9166666666666666	0.8958333333333334	0.5
121	PF05347	0.875	0.875	0.6041666666666666
122	PF01412	0.9791666666666666	0.9583333333333334	0.75
123	PF01682	0.8958333333333334	0.9166666666666666	0.625
124	PF22337	0.9361702127659575	0.9375	0.6595744680851063
125	PF19271	0.9375	0.9375	0.4375
126	PF20150	0.9166666666666666	0.9583333333333334	0.8333333333333334
127	PF08544	0.8958333333333334	0.9791666666666666	0.8541666666666666
128	PF11452	0.9375	0.9166666666666666	0.375
129	PF00270	0.9166666666666666	0.9375	0.5833333333333334
130	PF02209	0.9166666666666666	0.9583333333333334	0.7916666666666666
131	PF23722	0.875	0.9166666666666666	0.6041666666666666
132	PF23857	0.8333333333333334	0.8333333333333334	0.5208333333333334
133	PF25344	0.875	0.875	0.4791666666666667
134	PF25042	0.875	0.8333333333333334	0.6041666666666666
135	PF08164	0.875	0.9375	0.4375
136	PF19906	0.8125	0.7916666666666666	0.3541666666666667
137	PF01986	0.9375	0.9583333333333334	0.5416666666666666
138	PF21027	0.875	0.8958333333333334	0.6041666666666666
139	PF20210	0.8958333333333334	0.875	0.5
140	PF20432	0.8958333333333334	0.9375	0.8333333333333334
141	PF18974	0.8958333333333334	0.8958333333333334	0.6875
142	PF19266	0.8541666666666666	0.8958333333333334	0.5833333333333334
143	PF03924	0.8125	0.875	0.7291666666666666
144	PF16331	0.8125	0.8541666666666666	0.5208333333333334
145	PF13679	0.9583333333333334	0.9583333333333334	0.22916666666666666
146	PF08883	0.9791666666666666	0.9583333333333334	0.3958333333333333
147	PF14561	0.9791666666666666	0.9791666666666666	0.5208333333333334
148	PF05669	0.9375	0.9375	0.4375
149	PF21180	0.8541666666666666	0.875	0.375
150	PF18978	0.9583333333333334	0.9375	0.3125
151	PF23619	0.9583333333333334	0.9583333333333334	0.5208333333333334
152	PF19360	0.8125	0.7916666666666666	0.5208333333333334
153	PF18370	0.8541666666666666	0.875	0.6666666666666666
154	PF04265	0.8958333333333334	0.9166666666666666	0.6875
155	PF10276	1.0	1.0	0.5625
156	PF03822	0.8541666666666666	0.875	0.5833333333333334
157	PF11185	0.8125	0.9583333333333334	0.8958333333333334
158	PF20013	0.9166666666666666	0.875	0.4166666666666667
159	PF09148	0.8541666666666666	0.9375	0.8958333333333334
160	PF23477	0.9375	0.9166666666666666	0.6666666666666666
161	PF15412	0.875	0.875	0.5625
162	PF14492	0.8958333333333334	0.9791666666666666	0.7916666666666666
163	PF23759	0.8541666666666666	0.8333333333333334	0.3125
164	PF24858	0.9583333333333334	0.9791666666666666	0.9791666666666666
165	PF24914	0.9375	0.9583333333333334	0.7291666666666666
166	PF11103	0.9166666666666666	0.9375	0.4166666666666667
167	PF00659	0.9375	0.9166666666666666	0.5833333333333334
168	PF25218	0.9583333333333334	0.8541666666666666	0.4791666666666667
169	PF03382	0.8958333333333334	0.9791666666666666	0.7916666666666666
170	PF21235	0.8541666666666666	0.8958333333333334	0.5625
171	PF07799	0.8958333333333334	0.9791666666666666	0.6458333333333334
172	PF10438	0.9375	0.9375	0.5
173	PF09811	0.875	0.8125	0.5625
174	PF18701	0.8958333333333334	0.8541666666666666	0.4375
175	PF16004	0.9791666666666666	0.9791666666666666	0.6458333333333334
176	PF19631	0.8541666666666666	0.8541666666666666	0.6875
177	PF13102	0.8333333333333334	0.8333333333333334	0.4791666666666667
178	PF20720	0.9583333333333334	0.9583333333333334	0.4791666666666667
179	PF08312	0.875	0.8958333333333334	0.6875
180	PF23043	0.8958333333333334	0.9166666666666666	0.4166666666666667
181	PF22495	0.8901098901098901	0.9375	0.6483516483516484
182	PF18129	0.8958333333333334	0.9166666666666666	0.6458333333333334
183	PF16190	0.875	0.8333333333333334	0.625
184	PF03493	0.8333333333333334	0.8958333333333334	0.4166666666666667
185	PF17751	0.8958333333333334	0.9375	0.4375
186	PF18938	0.9583333333333334	0.9583333333333334	0.5833333333333334
187	PF11193	0.9166666666666666	0.9166666666666666	0.6458333333333334
188	PF04990	0.8125	0.875	0.2708333333333333
