	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	PF10138	0.7857142857142857	0.9285714285714286	0.42857142857142855
1	PF03185	0.96	1.0	0.32
2	PF05805	0.8604651162790697	0.8372093023255814	0.5116279069767442
3	PF01640	0.8923076923076924	0.9384615384615385	0.6
4	PF01834	0.8888888888888888	0.8888888888888888	0.48148148148148145
5	PF06240	0.75	0.875	0.625
6	PF18102	0.9574468085106383	0.9361702127659575	0.44680851063829785
7	PF10916	1.0	1.0	0.375
8	PF20131	0.8571428571428571	0.9285714285714286	0.2619047619047619
9	PF14274	0.7419354838709677	0.7741935483870968	0.3870967741935484
10	PF18715	0.8372093023255814	0.8604651162790697	0.32558139534883723
11	PF19962	0.8333333333333334	0.8333333333333334	0.6666666666666666
12	PF01734	0.9333333333333333	0.9714285714285714	0.8857142857142857
13	PF02944	0.9027777777777778	0.9166666666666666	0.6388888888888888
14	PF23254	0.9276315789473685	0.9078947368421053	0.6578947368421053
15	PF17189	0.8898305084745762	0.9067796610169492	0.5338983050847458
16	PF08018	0.9565217391304348	0.9130434782608695	0.6956521739130435
17	PF08484	0.8942307692307693	0.9038461538461539	0.47115384615384615
18	PF16922	0.8676470588235294	0.8823529411764706	0.5441176470588235
19	PF13865	0.8	0.8333333333333334	0.8
20	PF25326	0.8860759493670886	0.9113924050632911	0.3670886075949367
21	PF22215	0.875	0.875	0.5
22	PF21126	0.9047619047619048	0.9047619047619048	0.5238095238095238
23	PF16504	0.9487179487179487	0.9487179487179487	0.4358974358974359
24	PF02371	0.8688524590163934	0.8524590163934426	0.6885245901639344
25	PF02470	0.943089430894309	0.9349593495934959	0.6178861788617886
26	PF15403	0.8	0.8	0.8
27	PF20874	0.9166666666666666	1.0	0.5833333333333334
28	PF17952	1.0	1.0	0.25
29	PF14168	0.8421052631578947	0.8421052631578947	0.6842105263157895
30	PF01609	0.8764044943820225	0.8876404494382022	0.5168539325842697
31	PF24723	0.9354838709677419	0.9032258064516129	0.6451612903225806
32	PF16515	1.0	1.0	0.55
33	PF05763	0.6190476190476191	0.8095238095238095	0.5714285714285714
34	PF25656	0.9473684210526315	0.9473684210526315	0.9473684210526315
35	PF10882	0.8	0.8666666666666667	0.8
36	PF10938	0.9230769230769231	0.9615384615384616	0.2692307692307692
37	PF01585	0.9302325581395349	0.9069767441860465	0.7209302325581395
38	PF22821	0.8804347826086957	0.9130434782608695	0.5
39	PF06746	0.8	0.8	0.3
40	PF12244	0.8461538461538461	0.8846153846153846	0.7307692307692307
41	PF20503	0.8035714285714286	0.875	0.5535714285714286
42	PF25366	0.9230769230769231	1.0	0.6923076923076923
43	PF08432	0.8641975308641975	0.8518518518518519	0.49382716049382713
44	PF22756	0.8	0.8	0.4
45	PF13717	0.9111111111111111	0.9555555555555556	0.7333333333333333
46	PF12532	0.9523809523809523	0.8095238095238095	0.42857142857142855
47	PF07545	1.0	0.7777777777777778	0.6666666666666666
48	PF23637	0.8	0.9333333333333333	0.6666666666666666
49	PF08212	0.8666666666666667	0.8666666666666667	0.4666666666666667
50	PF03911	0.8979591836734694	0.9387755102040817	0.6020408163265306
51	PF03741	0.9056603773584906	0.9056603773584906	0.5094339622641509
52	PF10238	0.8837209302325582	0.9069767441860465	0.3953488372093023
53	PF17975	0.8275862068965517	0.8620689655172413	0.6551724137931034
54	PF21799	0.9009009009009009	0.9099099099099099	0.5585585585585585
55	PF12255	0.5833333333333334	0.75	0.4166666666666667
56	PF11009	0.8305084745762712	0.8813559322033898	0.559322033898305
57	PF25302	1.0	1.0	0.0
58	PF25780	0.8507462686567164	0.8656716417910447	0.3358208955223881
59	PF07191	0.7647058823529411	0.7647058823529411	0.23529411764705882
60	PF04011	0.9097222222222222	0.9444444444444444	0.5833333333333334
61	PF00660	0.8909090909090909	0.8727272727272727	0.4727272727272727
62	PF06013	0.8955223880597015	0.8805970149253731	0.6119402985074627
63	PF06826	0.7241379310344828	0.7586206896551724	0.20689655172413793
64	PF11764	0.921875	0.921875	0.40625
65	PF02936	0.9024390243902439	0.8780487804878049	0.3902439024390244
66	PF06878	0.8235294117647058	0.8823529411764706	0.4117647058823529
67	PF18848	0.8	0.8	0.3
68	PF12906	0.8947368421052632	0.8421052631578947	0.6842105263157895
69	PF13085	0.75	0.75	0.5833333333333334
70	PF02270	0.85	0.9	0.7
71	PF18330	0.8823529411764706	0.8823529411764706	0.058823529411764705
72	PF18957	0.8235294117647058	0.8823529411764706	0.6470588235294118
73	PF09649	0.9090909090909091	0.8409090909090909	0.7954545454545454
74	PF10531	0.8490566037735849	0.8490566037735849	0.8301886792452831
75	PF05026	0.9418604651162791	0.9418604651162791	0.5813953488372093
76	PF02749	0.9148936170212766	0.9202127659574468	0.6808510638297872
77	PF10842	1.0	1.0	0.09090909090909091
78	PF21909	0.9166666666666666	1.0	0.3333333333333333
79	PF20659	0.4	0.6	0.3
80	PF09727	0.8620689655172413	0.9310344827586207	0.4827586206896552
81	PF05428	0.7142857142857143	0.9285714285714286	0.7142857142857143
82	PF20981	0.8977272727272727	0.8977272727272727	0.4318181818181818
83	PF03287	0.75	1.0	0.625
84	PF18574	0.9285714285714286	0.9285714285714286	0.35714285714285715
85	PF17106	0.9130434782608695	0.9130434782608695	0.6086956521739131
86	PF09869	1.0	1.0	0.5
87	PF25061	0.92	0.93	0.37
88	PF23591	0.8518518518518519	0.8518518518518519	0.7037037037037037
89	PF19308	0.7777777777777778	0.8888888888888888	0.5555555555555556
90	PF04385	0.8387096774193549	0.967741935483871	0.9516129032258065
91	PF18551	0.875	0.8125	0.5
92	PF25708	0.8870967741935484	0.9193548387096774	0.6774193548387096
93	PF18584	0.875	0.8125	0.375
94	PF24269	0.8409090909090909	0.7727272727272727	0.4772727272727273
95	PF24328	0.9090909090909091	1.0	0.7272727272727273
96	PF23940	0.9326599326599326	0.92	0.3265993265993266
97	PF09291	1.0	1.0	0.6666666666666666
98	PF16018	1.0	1.0	0.7777777777777778
99	PF01436	0.8918918918918919	0.9459459459459459	0.7972972972972973
100	PF05826	0.8035714285714286	0.8214285714285714	0.44642857142857145
101	PF02262	0.875	0.9166666666666666	0.4166666666666667
102	PF23992	1.0	1.0	0.375
103	PF23911	0.8076923076923077	0.8076923076923077	0.5769230769230769
104	PF04010	0.9230769230769231	0.9230769230769231	0.5
105	PF23151	0.8541666666666666	0.8541666666666666	0.5416666666666666
106	PF23722	0.8536585365853658	0.9146341463414634	0.6829268292682927
107	PF13664	0.8367346938775511	0.8571428571428571	0.42857142857142855
108	PF13247	0.782608695652174	0.8260869565217391	0.5217391304347826
109	PF02533	0.8333333333333334	1.0	1.0
110	PF08325	0.9375	0.9375	0.3125
111	PF25307	0.8297872340425532	0.851063829787234	0.3617021276595745
112	PF02557	0.9230769230769231	0.9230769230769231	0.5384615384615384
113	PF22043	0.8414634146341463	0.8536585365853658	0.2804878048780488
114	PF06119	0.9180327868852459	0.9344262295081968	0.32786885245901637
115	PF14029	0.8928571428571429	0.9107142857142857	0.6428571428571429
116	PF15542	0.8571428571428571	0.8571428571428571	0.5
117	PF25825	0.92	0.92	0.6
118	PF23665	0.9156626506024096	0.9036144578313253	0.5180722891566265
119	PF19820	0.9333333333333333	0.9333333333333333	0.4666666666666667
120	PF17651	0.8539325842696629	0.8539325842696629	0.4044943820224719
121	PF16568	1.0	0.9565217391304348	0.7391304347826086
122	PF08157	1.0	1.0	0.2222222222222222
123	PF07426	0.9090909090909091	0.9090909090909091	0.5
124	PF04553	1.0	1.0	0.3076923076923077
125	PF24705	0.8961038961038961	0.935064935064935	0.5844155844155844
126	PF24935	0.9464285714285714	0.9285714285714286	0.48214285714285715
