family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
PF00004	16386	0.9583333333333334	0.9166666666666666	0.6875
PF00004	16389	0.9583333333333334	0.9583333333333334	0.5416666666666666
PF00004	16390	0.9375	0.9375	0.5416666666666666
PF00004	10	0.8541666666666666	0.8541666666666666	0.4791666666666667
PF00004	8203	0.9583333333333334	0.9375	0.4375
PF00004	12	0.875	0.9375	0.625
PF00004	16394	0.8958333333333334	0.8958333333333334	0.5
PF00004	14	0.8541666666666666	0.8958333333333334	0.4583333333333333
PF00004	8209	0.8125	0.8333333333333334	0.4791666666666667
PF00004	16406	0.8541666666666666	0.8541666666666666	0.4583333333333333
PF00004	8227	0.9583333333333334	0.9375	0.5833333333333334
PF00004	8229	0.875	0.9166666666666666	0.5208333333333334
PF00004	8231	0.9375	0.9791666666666666	0.5625
PF00004	16423	0.8541666666666666	0.8958333333333334	0.5833333333333334
PF00004	8235	0.9375	0.9375	0.5208333333333334
PF00004	8246	0.875	0.875	0.5416666666666666
PF00004	16439	0.7916666666666666	0.8541666666666666	0.4791666666666667
PF00004	56	0.8125	0.875	0.5416666666666666
PF00004	61	0.9166666666666666	0.9166666666666666	0.5
PF00004	16449	0.8958333333333334	0.8958333333333334	0.5
PF00004	8259	0.8125	0.8541666666666666	0.5416666666666666
PF00004	8265	0.8541666666666666	0.8958333333333334	0.5833333333333334
PF00004	16457	0.9375	0.9791666666666666	0.6041666666666666
PF00004	16459	0.8125	0.8333333333333334	0.4375
PF00004	78	0.8333333333333334	0.875	0.5416666666666666
PF00004	90	0.8541666666666666	0.8541666666666666	0.4583333333333333
PF00004	8287	0.875	0.9375	0.5833333333333334
PF00004	16479	0.875	0.875	0.4791666666666667
PF00004	16483	0.9375	0.9375	0.5416666666666666
PF00004	106	0.8333333333333334	0.9166666666666666	0.4791666666666667
PF00004	16490	0.9375	0.9375	0.4583333333333333
PF00004	8309	0.8958333333333334	0.8958333333333334	0.5416666666666666
PF00004	118	0.8125	0.875	0.4791666666666667
PF00004	16501	0.875	0.875	0.5416666666666666
